MEGFR,Viatura_COD,TIPO_DECIR,ELEMENTO,COD_EQUIPA,CODIGO_ICNF,TIPOLOGIA,MODELO,MARCA,CHASSIS,MATRICULA,UO_DRCNF,BASE,ESTADO,AGFR,LAT_BASE,LONG_BASE,DDI_VIATURA,Ligada_Meios_v1
FSBF,VTTP AR-05-BU,VTTP,NULL,NULL,VASG 02 FSBF,NULL,Proace,Toyota,NULL,AR-05-BU,NULL,Cabeceiras de Basto,NULL,NACIONAL,"41,521439","-7,995917",NULL,NÃO ligada
FSBF,VTTP AR-06-BU,VTTP,NULL,NULL,VASG 03 FSBF,NULL,Proace,Toyota,NULL,AR-06-BU,NULL,Cabeceiras de Basto,NULL,NACIONAL,"41,521439","-7,995917",NULL,NÃO ligada
FSBF,VTTP AR-07-BU,VTTP,NULL,NULL,VASG 01 FSBF,NULL,Proace,Toyota,NULL,AR-07-BU,NULL,Lisboa,NULL,NACIONAL,NULL,NULL,NULL,NÃO ligada
FSBF,VTTP AR-08-BU,VTTP,NULL,NULL,VASG 04 FSBF,NULL,Proace,Toyota,NULL,AR-08-BU,NULL,Vila Pouca de Aguiar,NULL,NACIONAL,"41,500083","-7,640167",NULL,NÃO ligada
FSBF,VTTP AR-09-BU,VTTP,NULL,NULL,VASG 05 FSBF,NULL,Proace,Toyota,NULL,AR-09-BU,NULL,Proença-a-Nova,NULL,NACIONAL,"39,731861","-7,873833",NULL,NÃO ligada
FSBF,VTTP AR-10-BU,VTTP,NULL,NULL,VASG 06 FSBF,NULL,Proace,Toyota,NULL,AR-10-BU,NULL,Guarda,NULL,NACIONAL,"40,538056","-7,286139",NULL,NÃO ligada
FSBF,VTTP AR-11-BU,VTTP,NULL,NULL,VASG 07 FSBF,NULL,Proace,Toyota,NULL,AR-11-BU,NULL,Guarda,NULL,NACIONAL,"40,538056","-7,286139",NULL,NÃO ligada
FSBF,VTTP AR-12-BU,VTTP,NULL,NULL,VASG 08 FSBF,NULL,Proace,Toyota,NULL,AR-12-BU,NULL,Santarém,NULL,NACIONAL,"39,105528","-8,837083",NULL,NÃO ligada
FSBF,VTTP AR-13-BU,VTTP,NULL,NULL,VASG 09 FSBF,NULL,Proace,Toyota,NULL,AR-13-BU,NULL,Portalegre,NULL,NACIONAL,"39,313528","-7,41625",NULL,NÃO ligada
FSBF,VFCI AR-14-BU,VFCI,NULL,NULL,VASG 10 FSBF,NULL,4x4,Renault,NULL,AR-14-BU,NULL,Loulé,NULL,NACIONAL,NULL,NULL,NULL,NÃO ligada
